# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_2500_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 2500 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
2500,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2501,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2502,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2503,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2504,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2505,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2506,0.857143,0.857143,0.857143,0.857143,0.000000,0.000000,0.000000,0.000000
2507,0.875000,0.875000,0.875000,0.875000,0.600000,0.600000,0.600000,0.600000
2508,0.888889,0.888889,0.888889,0.888889,0.727273,0.727273,0.727273,0.727273
2509,0.900000,0.900000,0.900000,0.900000,0.736842,0.736842,0.736842,0.736842
2510,0.909091,0.909091,0.909091,0.909091,0.792453,0.792453,0.792453,0.792453
2511,0.916667,0.916667,0.916667,0.916667,0.823529,0.823529,0.823529,0.823529
2599,0.980000,0.980000,0.930000,0.930000,0.959416,0.959416,0.858985,0.858985
2799,0.890000,0.845000,0.920000,0.915000,0.779726,0.690062,0.840149,0.830102
2999,0.892000,0.895000,0.946000,0.985000,0.776534,0.749044,0.886855,0.959173
3199,0.864286,0.795000,0.951429,0.965000,0.726562,0.606072,0.899217,0.928789
3399,0.878889,0.930000,0.943333,0.915000,0.758911,0.851836,0.885303,0.824670
3599,0.882727,0.900000,0.935455,0.900000,0.765097,0.782798,0.867566,0.766355
3799,0.879231,0.860000,0.926923,0.880000,0.749950,0.387443,0.844378,0.501558
3999,0.892000,0.975000,0.928000,0.935000,0.776386,0.948454,0.847240,0.865145
4199,0.895882,0.925000,0.926471,0.915000,0.781472,0.814264,0.842099,0.791411
4399,0.882632,0.770000,0.923158,0.895000,0.748026,0.298780,0.832641,0.725131
4599,0.879048,0.845000,0.926667,0.960000,0.745359,0.689192,0.843052,0.919960
4799,0.879130,0.880000,0.926957,0.930000,0.746214,0.754601,0.844265,0.856204
4999,0.879200,0.880000,0.922000,0.865000,0.742459,0.633252,0.831212,0.596292
5199,0.871852,0.780000,0.922222,0.925000,0.730665,0.571651,0.833312,0.849880
5399,0.861724,0.725000,0.910000,0.745000,0.709259,0.431583,0.806995,0.465969
5599,0.862903,0.880000,0.910323,0.915000,0.710582,0.728997,0.807209,0.809716
5799,0.850909,0.665000,0.910303,0.910000,0.689144,0.373949,0.808477,0.820699
5999,0.852000,0.870000,0.907429,0.860000,0.690890,0.719586,0.802169,0.696312
6199,0.854595,0.900000,0.907297,0.905000,0.698899,0.793495,0.804266,0.803516
6399,0.847179,0.710000,0.907949,0.920000,0.685057,0.456267,0.805721,0.832688
6599,0.847805,0.860000,0.906098,0.870000,0.684092,0.610245,0.800385,0.642464
6799,0.850465,0.905000,0.905116,0.885000,0.689736,0.804808,0.798811,0.765736
6999,0.851333,0.870000,0.904222,0.885000,0.691433,0.730542,0.797179,0.762593
7199,0.847021,0.750000,0.900213,0.810000,0.681633,0.465355,0.788765,0.603837
7399,0.842245,0.730000,0.893265,0.730000,0.672883,0.486692,0.775532,0.476338
7599,0.841961,0.835000,0.889608,0.800000,0.672218,0.660214,0.768279,0.594526
7799,0.842642,0.860000,0.887358,0.830000,0.675552,0.705139,0.764864,0.658772
7999,0.844364,0.890000,0.889455,0.945000,0.680241,0.778739,0.770190,0.889603
8199,0.847368,0.930000,0.890000,0.905000,0.687109,0.859874,0.772078,0.809657
8399,0.848644,0.885000,0.892373,0.960000,0.690891,0.762151,0.777839,0.919020
8599,0.848361,0.840000,0.894590,0.960000,0.690943,0.681021,0.782835,0.920000
8799,0.850952,0.930000,0.896667,0.960000,0.696944,0.857201,0.787797,0.918864
8999,0.852615,0.905000,0.898462,0.955000,0.700787,0.810266,0.791860,0.910054
9199,0.853582,0.885000,0.898507,0.900000,0.702751,0.769493,0.792126,0.799700
9399,0.850290,0.740000,0.896957,0.845000,0.696692,0.491592,0.789117,0.688693
9599,0.849718,0.830000,0.897746,0.925000,0.696078,0.650206,0.791188,0.848943
9799,0.849452,0.840000,0.899041,0.945000,0.695682,0.684822,0.793803,0.887318
9999,0.849600,0.855000,0.899333,0.910000,0.696167,0.710521,0.794686,0.820000
