# TEST CONFIGURATION BEGIN
# Waveform Generator: n_classes: 3  -  n_num_features: 21  -  n_cat_features: 0  -  has_noise: False  -  random_state: None
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: ouput_batch_size_2_pretrain_0_waveform.csv - batch_size: 2 - pretrain_size: 0 - task_type: classification - show_plot: True - metrics: ['accuracy']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT]
598,0.785000,0.805000,0.395000,0.405000
198,0.745000,0.745000,0.365000,0.365000
398,0.770000,0.795000,0.377500,0.390000
798,0.790000,0.805000,0.401250,0.420000
598,0.796667,0.850000,0.381667,0.390000
998,0.790000,0.790000,0.413000,0.460000
798,0.797500,0.800000,0.398750,0.450000
1198,0.793333,0.810000,0.432500,0.530000
998,0.794000,0.780000,0.404000,0.425000
1398,0.795000,0.805000,0.436429,0.460000
1198,0.800000,0.830000,0.412500,0.455000
1598,0.795625,0.800000,0.435000,0.425000
1398,0.805714,0.840000,0.419286,0.460000
1798,0.796667,0.805000,0.445556,0.530000
1598,0.813125,0.865000,0.430625,0.510000
1998,0.799000,0.820000,0.461000,0.600000
1798,0.813333,0.815000,0.442778,0.540000
2198,0.796818,0.775000,0.467727,0.535000
1998,0.816500,0.845000,0.451500,0.530000
2398,0.799167,0.825000,0.479583,0.610000
2198,0.815000,0.800000,0.462727,0.575000
2598,0.796538,0.765000,0.487692,0.585000
2398,0.814583,0.810000,0.464583,0.485000
2798,0.797143,0.805000,0.492143,0.550000
2598,0.813846,0.805000,0.470000,0.535000
2998,0.796000,0.780000,0.498333,0.585000
2798,0.812143,0.790000,0.475357,0.545000
3198,0.798125,0.830000,0.498750,0.505000
2998,0.810333,0.785000,0.476333,0.490000
3198,0.807187,0.760000,0.479687,0.530000
3398,0.797059,0.780000,0.502353,0.560000
3398,0.807059,0.805000,0.481471,0.510000
3598,0.798056,0.815000,0.505556,0.560000
3598,0.806389,0.795000,0.485278,0.550000
3798,0.795789,0.755000,0.509474,0.580000
3798,0.804737,0.775000,0.487105,0.520000
3998,0.797500,0.830000,0.511750,0.555000
3998,0.806000,0.830000,0.491250,0.570000
4198,0.798333,0.815000,0.512381,0.525000
4198,0.805476,0.795000,0.494524,0.560000
4398,0.799545,0.825000,0.517273,0.620000
4398,0.805682,0.810000,0.496136,0.530000
4598,0.800435,0.820000,0.517174,0.515000
4598,0.803913,0.765000,0.497826,0.535000
4798,0.801667,0.830000,0.520417,0.595000
4798,0.804792,0.825000,0.501042,0.575000
4998,0.802000,0.810000,0.522400,0.570000
4998,0.804000,0.785000,0.503400,0.560000
5198,0.800192,0.755000,0.523846,0.560000
5198,0.806154,0.860000,0.503269,0.500000
5398,0.799630,0.785000,0.524630,0.545000
5398,0.806852,0.825000,0.505000,0.550000
5598,0.799286,0.790000,0.525714,0.555000
5598,0.807679,0.830000,0.506607,0.550000
5798,0.799138,0.795000,0.527931,0.590000
