# TEST CONFIGURATION BEGIN
# RandomTreeGenerator: _original_tree_random_state: 0 - _original_sample_random_state: 0 - n_classes: 2 - n_nominal_attributes: 5 - n_numerical_attributes: 5 - n_values_per_nominal_attribute: 5 - max_depth: 5 - min_leaf_depth: 3 - fraction_leaves_per_level: 0.15
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: output_50000.csv - batch_size: 1 - pretrain_size: 100 - task_type: classification - show_plot: True - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
199,0.580000,0.580000,0.500000,0.500000,0.149109,0.149109,-0.039933,-0.039933
399,0.570000,0.565000,0.520000,0.530000,0.090610,0.048348,-0.060487,-0.077487
599,0.600000,0.645000,0.514000,0.505000,0.171651,0.282103,-0.042310,-0.017472
799,0.612857,0.645000,0.510000,0.500000,0.196745,0.260417,-0.052701,-0.075731
999,0.607778,0.590000,0.512222,0.520000,0.191850,0.170712,-0.040558,0.000000
1199,0.597273,0.550000,0.534545,0.635000,0.172131,0.087684,0.003609,0.205658
1399,0.599231,0.610000,0.540000,0.570000,0.173746,0.181102,0.010597,0.051715
1599,0.606000,0.650000,0.550000,0.615000,0.188992,0.286297,0.031856,0.171330
1799,0.606471,0.610000,0.557059,0.610000,0.193173,0.216474,0.052241,0.198767
1999,0.607368,0.615000,0.561053,0.595000,0.196408,0.221593,0.064277,0.159751
2199,0.604762,0.580000,0.570476,0.660000,0.190873,0.138285,0.084272,0.275362
2399,0.603913,0.595000,0.571739,0.585000,0.190304,0.182644,0.090562,0.149067
2599,0.604000,0.605000,0.574400,0.605000,0.191339,0.203308,0.094718,0.143167
2799,0.607407,0.650000,0.578889,0.635000,0.197188,0.268930,0.102108,0.196212
2999,0.611034,0.660000,0.581379,0.615000,0.205096,0.310345,0.108297,0.190326
3199,0.613548,0.650000,0.587742,0.680000,0.207584,0.225664,0.115071,0.201995
3399,0.613333,0.610000,0.590000,0.625000,0.207632,0.208925,0.119886,0.194761
3599,0.609714,0.550000,0.592286,0.630000,0.198822,0.060249,0.126008,0.224400
3799,0.611892,0.650000,0.594865,0.640000,0.198933,0.143836,0.128087,0.158879
3999,0.612051,0.615000,0.593846,0.575000,0.196806,0.146720,0.125224,0.071241
4199,0.613171,0.635000,0.594146,0.600000,0.198052,0.219585,0.125024,0.120783
4399,0.616279,0.680000,0.597442,0.665000,0.202490,0.291330,0.130692,0.248205
4599,0.615778,0.605000,0.597778,0.605000,0.200124,0.175881,0.133611,0.188078
4799,0.615106,0.600000,0.598936,0.625000,0.198008,0.162479,0.138090,0.227123
4999,0.616122,0.640000,0.599796,0.620000,0.199267,0.239624,0.140834,0.203438
5199,0.617059,0.640000,0.600784,0.625000,0.200584,0.232737,0.142462,0.182472
5399,0.618491,0.655000,0.603774,0.680000,0.201655,0.214123,0.147672,0.285714
5599,0.619455,0.645000,0.605273,0.645000,0.202919,0.234914,0.150331,0.221491
5799,0.618947,0.605000,0.607719,0.675000,0.201048,0.154176,0.156292,0.315357
5999,0.619831,0.645000,0.607797,0.610000,0.202932,0.264249,0.157613,0.192296
6199,0.620164,0.630000,0.609344,0.655000,0.203137,0.209655,0.160974,0.259974
6399,0.621746,0.670000,0.612381,0.705000,0.205587,0.279476,0.166614,0.345898
6599,0.624000,0.695000,0.616462,0.745000,0.208052,0.264174,0.172926,0.389222
6799,0.626119,0.695000,0.617015,0.635000,0.211941,0.340541,0.173975,0.208243
6999,0.625362,0.600000,0.619275,0.695000,0.210691,0.190611,0.181035,0.385700
7199,0.626901,0.680000,0.622254,0.725000,0.212328,0.255208,0.186629,0.388345
7399,0.627123,0.635000,0.624110,0.690000,0.212884,0.244150,0.191630,0.360825
7599,0.628267,0.670000,0.626000,0.695000,0.214561,0.275919,0.195197,0.327453
7799,0.629091,0.660000,0.627532,0.685000,0.215262,0.234148,0.197930,0.303867
7999,0.631266,0.715000,0.629747,0.715000,0.218905,0.360126,0.201636,0.347826
8199,0.632963,0.700000,0.630123,0.645000,0.221314,0.312479,0.201832,0.208825
8399,0.632530,0.615000,0.629759,0.615000,0.220592,0.206186,0.202077,0.210256
8599,0.632235,0.620000,0.630000,0.640000,0.220518,0.231392,0.204108,0.273901
8799,0.632184,0.630000,0.630230,0.640000,0.219367,0.156022,0.203796,0.191011
8999,0.632697,0.655000,0.630112,0.625000,0.221077,0.291144,0.204257,0.222798
9199,0.634725,0.725000,0.631648,0.700000,0.223714,0.349882,0.205355,0.250468
9399,0.635376,0.665000,0.632258,0.660000,0.224675,0.267920,0.206273,0.247788
9599,0.635368,0.635000,0.633053,0.670000,0.224300,0.206694,0.207845,0.281672
9799,0.636598,0.695000,0.634948,0.725000,0.226188,0.314607,0.211531,0.392936
9999,0.636667,0.640000,0.634444,0.610000,0.226224,0.230111,0.210887,0.178602
10199,0.636535,0.630000,0.635743,0.700000,0.225979,0.219985,0.214300,0.374674
10399,0.635146,0.565000,0.635631,0.630000,0.223315,0.104016,0.214843,0.240636
10599,0.635238,0.640000,0.635905,0.650000,0.222589,0.172794,0.214543,0.195772
10799,0.635888,0.670000,0.635701,0.625000,0.223750,0.285328,0.213770,0.171088
10999,0.636606,0.675000,0.636972,0.705000,0.224824,0.281768,0.216211,0.350792
11199,0.637297,0.675000,0.637477,0.665000,0.225906,0.285714,0.217148,0.268559
11399,0.637080,0.625000,0.637522,0.640000,0.224974,0.168883,0.217063,0.211909
