# TEST CONFIGURATION BEGIN
# File Stream: filename: elec.csv  -  n_targets: 1
# [HT] HoeffdingTree: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [HATT] HATT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# Prequential Evaluator: n_wait: 200 - max_samples: 20000 - max_time: inf - output_file: output_pretrain_1900_batch_size_1_dataset_elec.csv - batch_size: 1 - pretrain_size: 1900 - task_type: classification - show_plot: False - metrics: ['accuracy', 'kappa']
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HATT],current_acc_[HATT],mean_kappa_[HT],current_kappa_[HT],mean_kappa_[HATT],current_kappa_[HATT]
1900,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1901,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1902,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1903,0.750000,0.750000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000
1904,0.800000,0.800000,1.000000,1.000000,0.545455,0.545455,1.000000,1.000000
1905,0.833333,0.833333,1.000000,1.000000,0.666667,0.666667,1.000000,1.000000
1906,0.857143,0.857143,1.000000,1.000000,0.720000,0.720000,1.000000,1.000000
1907,0.875000,0.875000,1.000000,1.000000,0.750000,0.750000,1.000000,1.000000
1908,0.888889,0.888889,1.000000,1.000000,0.769231,0.769231,1.000000,1.000000
1999,0.780000,0.780000,0.840000,0.840000,0.572816,0.572816,0.657388,0.657388
2199,0.753333,0.740000,0.793333,0.770000,0.472534,0.407677,0.517535,0.433009
2399,0.814000,0.905000,0.746000,0.675000,0.622785,0.809619,0.466028,0.390244
2599,0.812857,0.810000,0.757143,0.785000,0.623637,0.630350,0.490948,0.558522
2799,0.827778,0.880000,0.757778,0.760000,0.656096,0.760455,0.499441,0.519279
2999,0.835455,0.870000,0.782727,0.895000,0.668745,0.702006,0.538649,0.725634
3199,0.820769,0.740000,0.793846,0.855000,0.642970,0.507622,0.564362,0.700846
3399,0.834667,0.925000,0.797333,0.820000,0.671951,0.840933,0.580833,0.636547
3599,0.842941,0.905000,0.810000,0.905000,0.687137,0.792848,0.603569,0.782609
3799,0.844211,0.855000,0.817895,0.885000,0.683607,0.356984,0.609898,0.528302
3999,0.855714,0.965000,0.817143,0.810000,0.706240,0.927611,0.607629,0.589854
4199,0.860435,0.910000,0.816522,0.810000,0.713027,0.776092,0.601669,0.499671
4399,0.853600,0.775000,0.818000,0.835000,0.694513,0.342105,0.599938,0.544199
4599,0.852593,0.840000,0.811481,0.730000,0.695894,0.679005,0.591432,0.460054
4799,0.855172,0.890000,0.810000,0.790000,0.701576,0.777057,0.588424,0.548193
4999,0.856774,0.880000,0.811613,0.835000,0.701471,0.633252,0.586686,0.491995
5199,0.852121,0.780000,0.813333,0.840000,0.694582,0.572317,0.594194,0.679487
5399,0.844857,0.725000,0.808571,0.730000,0.679618,0.438890,0.584122,0.432952
5599,0.847297,0.890000,0.810000,0.835000,0.683566,0.754464,0.586183,0.621820
5799,0.836923,0.645000,0.807436,0.760000,0.664976,0.336573,0.583771,0.526767
5999,0.838780,0.875000,0.804634,0.750000,0.668173,0.731125,0.577015,0.438707
6199,0.841628,0.900000,0.799302,0.690000,0.676013,0.791558,0.569409,0.388259
6399,0.834667,0.685000,0.796000,0.725000,0.662921,0.408117,0.562274,0.409237
6599,0.835319,0.850000,0.797447,0.830000,0.662363,0.592391,0.562235,0.508671
6799,0.837755,0.895000,0.796327,0.770000,0.667317,0.784880,0.559955,0.509804
6999,0.839608,0.885000,0.795294,0.770000,0.671018,0.763860,0.557816,0.510065
7199,0.837547,0.785000,0.792642,0.725000,0.666019,0.544298,0.552104,0.414146
7399,0.836182,0.800000,0.786364,0.620000,0.664261,0.602069,0.541761,0.298375
7599,0.838246,0.895000,0.784386,0.730000,0.668445,0.785758,0.537983,0.439311
7799,0.837288,0.810000,0.781695,0.705000,0.668003,0.593670,0.535252,0.419406
7999,0.837869,0.855000,0.783934,0.850000,0.670121,0.707720,0.542012,0.700270
8199,0.836825,0.805000,0.785079,0.820000,0.668790,0.607172,0.546076,0.640969
8399,0.837846,0.870000,0.787538,0.865000,0.671822,0.728969,0.553269,0.730593
8599,0.837463,0.825000,0.788806,0.830000,0.671561,0.651464,0.557062,0.659592
8799,0.839855,0.920000,0.788986,0.795000,0.676935,0.835391,0.559122,0.593979
8999,0.840704,0.870000,0.792254,0.905000,0.679099,0.740648,0.567019,0.810038
9199,0.842329,0.900000,0.793836,0.850000,0.682321,0.799700,0.570924,0.699369
9399,0.838800,0.710000,0.796400,0.890000,0.675841,0.436236,0.576958,0.780000
9599,0.838312,0.820000,0.795974,0.780000,0.675305,0.624217,0.577210,0.567270
9799,0.837595,0.810000,0.796329,0.810000,0.674037,0.629449,0.577786,0.600295
9999,0.839383,0.910000,0.795556,0.765000,0.677750,0.819350,0.576701,0.539125
10199,0.840843,0.900000,0.798313,0.910000,0.681220,0.760077,0.584337,0.803665
10399,0.842235,0.900000,0.799294,0.840000,0.684164,0.798975,0.586974,0.680479
10599,0.842184,0.840000,0.800805,0.865000,0.684182,0.683325,0.590321,0.727713
10799,0.841685,0.820000,0.801685,0.840000,0.683087,0.629896,0.591780,0.654614
10999,0.843516,0.925000,0.801429,0.790000,0.686434,0.830814,0.590456,0.490600
11199,0.843763,0.855000,0.801183,0.790000,0.686748,0.699855,0.589784,0.557569
11399,0.843895,0.850000,0.801053,0.795000,0.686522,0.621260,0.588616,0.484536
11599,0.842062,0.755000,0.800515,0.775000,0.682525,0.507538,0.587659,0.548193
11799,0.842626,0.870000,0.801616,0.855000,0.683959,0.729814,0.590927,0.704624
11999,0.840594,0.740000,0.800396,0.740000,0.679675,0.451071,0.588144,0.441041
12199,0.841650,0.895000,0.799612,0.760000,0.681819,0.789621,0.586510,0.504388
12399,0.841429,0.830000,0.799524,0.795000,0.681321,0.655975,0.586392,0.580176
12599,0.838411,0.680000,0.800374,0.845000,0.675666,0.384556,0.588589,0.693009
12799,0.839725,0.910000,0.800275,0.795000,0.678398,0.819712,0.588714,0.591715
12999,0.840090,0.860000,0.800541,0.815000,0.679463,0.690779,0.590172,0.625279
13199,0.839646,0.815000,0.801593,0.860000,0.678717,0.636685,0.592466,0.716828
13399,0.840174,0.870000,0.801478,0.795000,0.679990,0.729589,0.592779,0.592688
13599,0.839573,0.805000,0.801966,0.830000,0.678847,0.615915,0.593669,0.645094
13799,0.840840,0.915000,0.801933,0.800000,0.681500,0.824742,0.594155,0.606493
13999,0.841405,0.875000,0.802975,0.865000,0.682706,0.750748,0.596524,0.729513
14199,0.838618,0.670000,0.803577,0.840000,0.677303,0.371668,0.597780,0.676375
14399,0.838080,0.805000,0.803600,0.805000,0.676048,0.561305,0.597290,0.532934
14599,0.838898,0.890000,0.802677,0.745000,0.677675,0.780592,0.595689,0.503408
14799,0.840078,0.915000,0.802481,0.790000,0.679990,0.830000,0.595360,0.580000
14999,0.838092,0.710000,0.802443,0.800000,0.675550,0.046053,0.594465,0.425287
15199,0.836090,0.705000,0.800752,0.690000,0.671340,0.435407,0.591230,0.402064
15399,0.836148,0.840000,0.801333,0.840000,0.671202,0.603960,0.591717,0.583333
15599,0.833869,0.680000,0.800949,0.775000,0.666210,0.210656,0.590504,0.477595
15799,0.831151,0.645000,0.799784,0.720000,0.660416,0.216681,0.587928,0.401901
15999,0.829007,0.680000,0.797801,0.660000,0.655787,0.296935,0.583646,0.269681
16199,0.829021,0.830000,0.797483,0.775000,0.655538,0.599104,0.582554,0.486301
16399,0.828483,0.790000,0.796897,0.755000,0.654309,0.559009,0.581245,0.484753
16599,0.826395,0.675000,0.795374,0.685000,0.649860,0.337681,0.578251,0.365047
16799,0.826040,0.800000,0.795168,0.780000,0.648592,0.307479,0.576962,0.364896
16999,0.826225,0.840000,0.794702,0.760000,0.648472,0.519231,0.575218,0.339934
17199,0.824902,0.725000,0.794837,0.805000,0.645253,0.184460,0.574786,0.473684
17399,0.824839,0.820000,0.795161,0.820000,0.644775,0.554951,0.574897,0.567464
17599,0.825287,0.860000,0.796178,0.875000,0.645798,0.722222,0.577488,0.751787
17799,0.826226,0.900000,0.797925,0.935000,0.647926,0.799277,0.581528,0.869974
17999,0.826646,0.860000,0.800062,0.970000,0.648780,0.718395,0.585912,0.937997
18199,0.827301,0.880000,0.801718,0.935000,0.649960,0.743590,0.589226,0.862579
18399,0.827758,0.865000,0.803515,0.950000,0.650595,0.678648,0.592558,0.885163
18599,0.828443,0.885000,0.805449,0.965000,0.651580,0.688262,0.595950,0.910692
18799,0.829763,0.940000,0.807160,0.950000,0.654099,0.869806,0.599274,0.891505
18999,0.830819,0.920000,0.808947,0.960000,0.656198,0.835238,0.602977,0.917038
19199,0.828497,0.630000,0.808497,0.770000,0.651564,0.331164,0.602691,0.562072
19399,0.829029,0.875000,0.810229,0.960000,0.652632,0.746450,0.606240,0.917012
19599,0.828927,0.820000,0.811751,0.945000,0.652463,0.642254,0.609725,0.890263
19799,0.829497,0.880000,0.813073,0.930000,0.653583,0.755899,0.612658,0.859325
19999,0.830000,0.875000,0.814365,0.930000,0.654676,0.751046,0.615683,0.859958
